NSW - LGA Schemes,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Local Government Area - Details,,Policies,,,,,,,,,,,,,,
LGA,Council,Policy Type,Policy Name,Status (Current/Historical),Description,Target Group,Incentive Type,"Incentive Amount 
(if applicable)",Eligibility Criteria,Implementation Date,"End Date 
(if applicable)",Administering Body,Key Outcomes/ Impact (if available),Notes/Additional Information,Contact information,Citation
Hornsby,Hornsby Shire Council,Home Electrification,Gas ban,Current,"At its 14 August 2024 Council meeting, Hornsby Shire Council voted unanimously to adopt changes to its Development Control Plan to ensure that new homes built in the LGA are to be fitted with electric indoor appliances (cooktops, heaters and ovens).",Houses; Apartments,N/A,N/A,N/A,14 August 2024,N/A,Hornsby Shire Council,N/A,N/A,"hsc@hornsby.nsw.gov.au

02 9847 6666",https://350.org.au/electrify-your-council-council-tracker/
Ku-ring-gai,Ku-ring-gai Council,Appliance and Lighting Efficiency,Smart Units rebates,Current,"The rebates are designed to support apartment blocks.

Rebates (50% of cost):
- Smart enabled shared electric car charging station or Infrastructure to support individual charging points to a minimum 5 residential parking lots (eg. upgrade of distribution board and cable infrastructure) - maximum $2,000
- Shared solar PV connected to a minimum of 8 residential units - maximum $4,000
- Replacement of centralised gas hot water system with heat-pump hot water system - maximum $2,000
- Energy efficiency upgrades in common areas as recommended by a mandatory Level 2 energy audit (eg. LED lighting, ventilation, pool pump upgrades, solar PV etc.) - maximum $4,000",Apartments,Rebate,"Maximum $6,000",N/A,2023,N/A - until funds exhausted,Ku-ring-gai Council,N/A,"The program offers a maximum of $60,00 in rebates to apartment blocks. Applications open until funds are exhausted.

",sustainability@krg.nsw.gov.au,https://www.krg.nsw.gov.au/Environment/Sustainable-living/Claim-a-rebate/Smart-Units-rebates
Ku-ring-gai,Ku-ring-gai Council,Appliance and Lighting Efficiency,Pool pump rebate,Current,"$250 rebates available for Ku-ring-gai residents who replace existing inefficient, single-speed pool pumps with an energy efficient pool pump (6-star rated and above as listed by Greenhouse & Energy Minimum Standards Regulator).",Houses,Rebate,Maximum $250,N/A,2024,24 June 2025 or until funds exhausted,Ku-ring-gai Council,N/A,"- Applicants will have 21 days from when written pre-approval is provided by Council to complete installation and return the required paperwork (or by 25 June 2025 - whichever is earlier).
- Properties that have received a pool pump in the past are not eligible to apply again.
- Rebates are only available for replacement of single speed pool pumps that are used for general filtration.

Pre-approval for the pump is required.",sustainability@krg.nsw.gov.au,https://www.krg.nsw.gov.au/Environment/Sustainable-living/Claim-a-rebate/Get-energy-smart/Pool-pump-rebate
Hunters Hill,Hunter's Hill Council,,None,,,,,,,,,,,,,
Northern Beaches,Northern Beaches Council,Education and Awareness Programs,Energy and Solar Expert Advisory Service,Current,"The energy and solar experts can provide advice to help Northern Beaches households and businesses improve energy efficiency, install solar and reduce carbon emissions. In the free 20-minute phone conversation/appointment, the experts can discuss energy efficiency, solar (including solar for strata), solar batteries, electrification, EV charging.",Houses; apartments; businesses,Free advice/consultation,N/A,None,Unclear,Unclear,Northern Beaches Council,N/A,Free 20-minute phone conversations on Mondays from 5-7pm and Tuesdays from 9-11am (except on public holidays).,"sustainability@northernbeaches.nsw.gov.au

1300 434 434",https://www.northernbeaches.nsw.gov.au/environment/climate-emergency-and-sustainability/solar-and-energy/energy-and-solar-expert-advisory
Willoughby,Willoughby City Council,Education and Awareness Programs,Thermal camera,Current,"Residents can borrow a thermal camera from from Willoughby City Library in Chatswood. The camera can be loaned out to residents with a current full Willoughby City Council Library membership, for a period of 3 weeks. The thermal camera can be used to identify warm or cold air leaks into homes, such as gaps around windows, doors and insulation (walls, ceiling, floor).",Houses; apartments; businesses,Borrow thermal camera,N/A,None,Unclear,Unclear,Willoughby City Council,N/A,N/A,"email@willoughby.nsw.gov.au

+61 (2) 9777 1000",https://www.willoughby.nsw.gov.au/Environment/Sustainable-Living/Save-energy-in-your-home
Willoughby,Willoughby City Council,Solar and Battery Systems,Solar Power Bulk Buy,Current,Council has partnered with a reputable solar power supplier to provide residents with quality solar power and battery products at a preferential Willoughby City Council price.,Houses,Reduced solar power installation price,"See website for pricing on different products.

https://www.willoughby.nsw.gov.au/Environment/Sustainable-Living/Renewable-Energy/Solar-Power-Bulk-Buy",None,Unclear ,Unclear,Solarpro,N/A,N/A,"Council:
email@willoughby.nsw.gov.au
02 9777 1000
Peter Lisle, Sustainability Team Leader - peter.lisle@willoughby.nsw.gov.au or 02 9777 7614.

Solarpro:
02 9453 1485 
",https://www.willoughby.nsw.gov.au/Environment/Sustainable-Living/Renewable-Energy/Solar-Power-Bulk-Buy
Willoughby,Willoughby City Council,Energy Audits and Ratings,Free level 1 energy audit,Current,Council can help simplify the process of choosing the right solar system by providing funding for a free level 1 energy audit conducted by an independent consultancy service for a limited number of residential strata buildings. This service provides advice on the installation of a solar PV system unique for your building.,Apartments,Free energy audit,N/A,"There is an eligibility criteria, but the criteria is unclear.",Unclear,Unclear,Willoughby City Council,N/A,"Applicant must be a member of a strata committee or own a residential strata.

There are eligibility criteria that strata need to meet in order to access this service, and there are a limited number available.","email@willoughby.nsw.gov.au

02 9777 1000",https://www.willoughby.nsw.gov.au/Environment/Sustainable-Living/Renewable-Energy/Solar-for-apartments
Willoughby,Willoughby City Council,Education and Awareness Programs,How to conduct your own home energy audit - webinar,Historical,Zoom webinar on how to conduct own home energy audit.,General,N/A,N/A,N/A,N/A,N/A,Willoughby City Council,N/A,N/A,"email@willoughby.nsw.gov.au

02 9777 1000",https://www.willoughby.nsw.gov.au/Eventbrite/How-to-conduct-your-own-home-energy-audit-webinar-158529842025
Lane Cove,Lane Cove Municipal Council,Solar and Battery Systems,Sustainability Rebates - Solar panels,Current,Rebate for installation of solar panels.,Houses; apartments; businesses,Rebate,"Rooftop solar panel - Rebate:
- House: 25% up to $500
- Unit (lot): 25% up to $1,000
- Unit (common area): 25% up to $5,000
- Business: 25% up to $1,000

Solar battery - Rebate:
- House: 10% up to $1,000
- Unit (lot or common area): 10% up to $1,000
- Business: 10% up to $1,000","- Must be installed by a Clean Energy Council Accredited Installer.

See full eligibility criteria here: https://ecouncil.lanecove.nsw.gov.au/TRIM/documents_TE/421887176/TRIM_Sustainability%20Rebates%20-%20Guidelines_1709875.PDF",Unclear,Unclear,Lane Cove Municipal Council,N/A,N/A,"Lane Cove Municipal Council
Alicia Lloyd, Sustainability Coordinator – Community Programs
(02) 9911 3607
alloyd@lanecove.nsw.gov.au

sustainability@lanecove.nsw.gov.au
(02) 9911 3607","https://www.lanecove.nsw.gov.au/Environment-Sustainability/Sustainability/Sustainability-Programs-and-Rebates/Sustainability-Rebates

https://ecouncil.lanecove.nsw.gov.au/TRIM/documents_TE/421887176/TRIM_Sustainability%20Rebates%20-%20Guidelines_1709875.PDF"
Lane Cove,Lane Cove Municipal Council,Education and Awareness Programs,Greener Apartments Program,Current,Free Council initiative to assist apartment buildings and strata schemes reduce their energy and water use and save money. This involves receiving independent expert advice.,Apartments,N/A - information,N/A,"Subject to application, but the Council encourages those in all types of buildings to apply.",Unclear,Unclear,Lane Cove Municipal Council,N/A,N/A,"service@lanecove.nsw.gov.au

02 9911 3555",https://www.lanecove.nsw.gov.au/Environment-Sustainability/Sustainability/Sustainability-Programs-and-Rebates/Greener-Apartments-Program
Lane Cove,Lane Cove Municipal Council,Home Electrification,Gas ban,Current,"At its 21 September 2023 Council meeting, Lave Cove Council passed new planning rules which prohibit the installation of gas appliances in all new development (residential and non-residential)",Houses; apartments,N/A,N/A,N/A,21 September 2023,N/A,Lane Cove Municipal Council,N/A,N/A,"service@lanecove.nsw.gov.au

02 9911 3555",https://350.org.au/electrify-your-council-council-tracker/
Mosman,Mosman Council,Education and Awareness Programs,The Mosman Apartment and Strata Savings Program (Strata sustainability program),Current,"Free independent advice to eligible residential apartment buildings to help improve sustainability, reduce greenhouse gas emissions and cut expenses.

The program offers – at no cost:
- Energy assessments performed by industry specialists.
- Detailed reports which will clearly illustrate the financial case for upgrades.
- Online video call support at strata meetings if requested to help communicate benefits of building upgrades.
- General support.",Apartments,N/A - information,N/A,The scheme offers sustainability assessments and reports to larger strata schemes and aged care facilities.,2024,2025,Mosman Council & Wattblock,N/A,N/A,"council@mosman.nsw.gov.au

(02) 9978 4000","https://mosman.nsw.gov.au/news/council-news/strata-sustainability-program

https://mosman.nsw.gov.au/environment/climate/councils-response-to-climate-change"
North Sydney,North Sydney Council,Financial Incentives,Sustainability rebates,Current,"There are fourteen rebates that can be applied for as part of the program up to the value of $5,000.

They include: 
- rooftop solar
- rooftop solar health check
- home battery
- electric vehicle charger
- hot water heat pumps
- reverse cycle air conditioners for heating
- induction cook top
- business kitchen electrification
- insulation
- rainwater tanks
- waterfix program
- lighting
- pool pump
- level 2 energy audit",Houses; apartments,Rebates,"Various - see website.

https://www.northsydney.nsw.gov.au/homepage/174/sustainability-rebates",Sustainable Product must have been installed or undertaken 12 months from the date listed on final invoice.,Unclear,Unclear,North Sydney Council,N/A,N/A,"council@northsydney.nsw.gov.au

(02) 9936 8100",https://www.northsydney.nsw.gov.au/homepage/174/sustainability-rebates
North Sydney,North Sydney Council,Energy Audits and Ratings,Futureproofing Apartments Program,Current,"For strata buildings of two units or more, Council offers the following at no cost:
- energy assessments performed by industry specialists
- detailed reports which will clearly illustrate the financial case for upgrades
- attendance at strata meetings if requested to help communicate benefits of building upgrades
- workshops and information sessions for apartment residents
- upgrade opportunities (including solar electricity, solar sharing to multiple units, batteries, heat pumps, LED lighting with smart controls, EV charging and carpark ventilation)
- numerous rebates (see above re sustainability rebates)",Apartments,Various,Various,Various,Unclear,N/A - Until funding exhausted,North Sydney Council,N/A,N/A,"council@northsydney.nsw.gov.au

(02) 9936 8100",https://www.northsydney.nsw.gov.au/home-improvements-maintenance/futureproofing-apartments
City of Parramatta,City of Parramatta Council,Home Electrification,Banned gas from new residential homes,Current,"In December 2022, Parramatta Council banned gas appliances in residential and commercial developments in its CBD.",Houses; apartments; businesses,N/A - Gas ban,N/A,N/A,1 December 2022,N/A,Parramatta Council,N/A,N/A,"council@cityofparramatta.nsw.gov.au

02 9806 5050","https://www.smh.com.au/national/nsw/as-city-of-sydney-ponders-a-gas-ban-this-council-is-planning-to-take-it-a-step-further-20230824-p5dzb1.html

https://switchedon.reneweconomy.com.au/content/more-local-councils-move-to-ban-new-gas-connections-in-homes-and-businesses#:~:text=And%20in%20December%202022%20Parramatta,exploring%20bans%20in%20residential%20settings."
City of Parramatta,City of Parramatta Council,Education and Awareness Programs,Our Energy Future,Current,"The Council is part of the Our Energy Future program. Our Energy Future provides impartial, up-to-date energy efficiency and renewable energy advice and support for households, businesses and City of Parramatta staff.",Houses; apartments; businesses,N/A - information,N/A,N/A,Unclear,Unclear,Parramatta Council,N/A,N/A,"council@cityofparramatta.nsw.gov.au

02 9806 5050","https://www.cityofparramatta.nsw.gov.au/our-energy-future#:~:text=To%20receive%20an%20obligation%20free,be%20right%20for%20your%20household."
Cumberland,Cumberland City Council,Education and Awareness Programs,Cumberland Council energy savings and solar free workshop,Historical,"On 1 December 2018, Cumberland Council held an energy savings and solar workshop.",General,N/A - information,N/A,N/A,N/A,N/A,Cumberland City Council,N/A,N/A,"council@cumberland.nsw.gov.au

02 8757 9000",https://www.cumberland.nsw.gov.au/news/council-helping-lower-your-electricity-and-gas-costs
Hawkesbury,Hawkesbury City Council,Building Energy Standards,Hawkesbury City Council Net Zero Emissions and Water Efficiency Strategy,Historical,"On 31 March 2021, the Council adopted the Strategy. New community emissions target was adopted by Council on 28 September 2021. Council’s newly adopted community emissions target is Net Zero Emissions by 2030. The strategy outlines a plan to guide Council, and the community to achieve emission and water reduction across Council’s operations and the broader LGA.",General,N/A,N/A,N/A,31 March 2021,N/A,Cumberland City Council,N/A,N/A,"council@cumberland.nsw.gov.au

02 8757 9000","https://www.hawkesbury.nsw.gov.au/for-residents/living-sustainably/net-zero-emissions#:~:text=Council's%20newly%20adopted%20community%20emissions,the%20broader%20local%20government%20area.

https://www.hawkesbury.nsw.gov.au/__data/assets/pdf_file/0011/178274/Adopted-Hawkesbury-City-Council-Net-Zero-Emissions-and-Water-Efficiency-Strategy-2021.pdf"
The Hills Shire,The Hills Shire Council,,None,,,,,,,,,,,,,
Blacktown,Blacktown City Council,Home Electrification,Australian Energy Foundation partnership,Current,"The Council has partnered with the Australian Energy Foundation to provide solar/insulation installation and advice to residents - accessed directly with AEF rather than through the Council. 
(Information is vague)",General,Various,$150-200,Unclear,Unclear,Unclear,Unclear,N/A,N/A,"council@blacktown.nsw.gov.au

(02) 5300 6000",https://www.blacktown.nsw.gov.au/files/assets/public/rates/pool-pump-campaign.pdf
Penrith,Penrith City Council,Education and Awareness Programs,Energy Efficiency Consultation,Historical,"Residents can book a 45-minute one-on-one energy advice consultation with Ian Moxon (an experienced sustainability consultant). Held at Penrith City Library (2 Sep 2024) and St Marys Library.

Ian Moxon provides information on:
- Reading bill and finding the best retailer
- Home energy efficiencies
- Solar power and batteries
- Electric Vehicles
- All-electric homes",General,N/A,N/a,None,2 September 2024,2 September 2024,Penrith City Council,N/A,N/A,"council@penrith.city

(02) 4732 7777",https://www.penrithcity.nsw.gov.au/upcoming-events/energy-efficiency-consultation-penrith-city-library
Penrith,Penrith City Council,Education and Awareness Programs,Be Energy Efficient at Home and Save Money Webinar,Current,"A free webinar that covers: 
- New technologies around energy-efficient appliances, smart home systems, and renewable energy solutions that revolutionize the way we power homes
- Practical methods, expert tips and simple techniques to maximize energy efficiency in every aspect of your home: hot water, lighting, insulation, heating and cooling systems.
- Immediate cost savings by comparing retail energy plans which can lead to substantial savings.
- Understand the various supplies of energy that we commonly use at home and how these fuels impact our family's health 
- Rebates and other government support that will help households unlock new and efficient energy saving products.",General,N/A,N/a,None,Unclear,Unclear,Penrith City Council,N/A,N/A,"council@penrith.city

(02) 4732 7777",https://www.penrithcity.nsw.gov.au/upcoming-events/be-energy-efficient-at-home-and-save-money-webinar
Fairfield,Fairfield City Council,,None,,,,,,,,,,,,,
Liverpool,Liverpool City Council,,None,,,,,,,,,,,,,
Campbelltown,Campbelltown City Council,,None,,,,,,,,,,,,,
Camden,Camden Council,Education and Awareness Programs,Home Energy Efficiency Kit,Current,"Residents can borrow a Home Energy Efficiency Kit to:
- show what appliances are using the most power in the home
- help identify issues that are affecting the energy efficiency of the home
- give ideas and steps to take to save money and power",General,N/A,N/A,None,Unclear,Unclear,Camden Council,N/A,N/A,"mail@camden.nsw.gov.au

13 22 63","https://www.camden.nsw.gov.au/environment/environmental-programs/home-energy-efficiency-kit/#:~:text=The%20Home%20Energy%20Efficiency%20Kits,efficiency%20of%20your%20home%2C%20and"
Wollondilly,Wollondilly Shire Council,,None,,,,,,,,,,,,,
Blue Mountains,Blue Mountains City Council,Home Electrification,Passed motion for new homes and businesses to be all-electric.,Current,"On 26 September 2023, the Council passed a motion to start the process requiring new homes and businesses across the municipality to be all-electric and gas-free. The motion will explore new planning laws to require new homes and businesses, including apartments, to include electric appliances like stoves, cooktops, heaters and hot water units, instead of gas ones.",(New) Houses; apartments; businesses,N/A - gas ban,N/A,N/A,26 September 2023,N/A,Blue Mountains City Council,"New household would save an average of $432 per year on their energy bills. This equates to more than $5,500 in today’s dollars over a typical 40-year life of a dwelling, totalling $16.6 million across the Blue Mountains LGA.",N/A,"council@bmcc.nsw.gov.au

(02) 4780 5000",https://350.org.au/press-release/blue-mountains-city-council-latest-council-to-move-towards-all-electric-gas-free-new-homes-and-businesses/
Upper Hunter,Upper Hunter Shire Council,Education and Awareness Programs,Partnership with 'Good for the Hood',Current,"The Council has partnered with partner with Good for the Hood to present the ""@HOME"" program, an initiative designed to promote smart, sustainable actions that residents can take within their homes.",Houses; apartments,,,,,,,,,,
Muswellbrook,Muswellbrook Shire Council,Community Energy Projects,Various initiatives by the Council's Sustainability Unit,Current,"The Council's Sustainability Unit offers:
- energy audits of their home, community facility or business.
- workshops on subjects such as being more energy efficient.
- visits to educational facilities to participate in activities about being energy smart.
- financial incentives for energy smart products and initiatives (subject to change and conditions).

Minimal details available.",General,N/A,N/A,N/A,N/A,N/A,Muswellbrook Shire Council,N/A,N/A,"Sustainability Unit
council@muswellbrook.nsw.gov.au
(02) 6549 3700",https://www.muswellbrook.nsw.gov.au/rethink-energy/
Singleton,Singleton Council,Education and Awareness Programs,Education and behaviour change program (one of its Cities Power Partnership pledges),Current,"In 2020, the Council resolved to participate in Cities Power Partnership. One of its pledges was to ""implement an education and behaviour change program to influence the behaviour of Council officers, local residents and businesses within the Local Government Area (LGA) to drive the shift to renewable energy, energy efficiency and sustainable transport.""

The Council does not seem to have any substantive education program in place further to the information available on its website.",General,N/A,N/A,N/A,2020,N/A,Singleton Council,N/A,N/A,"council@singleton.nsw.gov.au

02 6578 7290",https://www.singleton.nsw.gov.au/Live/Sustainability-Hub/Sustainability-Strategy/Cities-Power-Partnership
Cessnock,Cessnock City Council,,None,,,,,,,,,,,,,
Maitland,Maitland City Council,Financial Incentives,Rebates (part of its Cities Power Partnership pledge),Current,"The Council promotes state government programs to support community access to rebates for actions that improve energy efficiency in the home. This includes showerhead exchanges, fridge buybacks and current Appliance Replacement Offer program.

Minimal details available.",Houses; apartments,Rebate,Unclear,Unclear,Unclear,Unclear,Unclear,N/A,N/A,"info@maitland.nsw.gov.au

02 4934 9700",https://citiespowerpartnership.org.au/partners/maitland-city-council/
Dungog,Dungog Shire Council,,None,,,,,,,,,,,,,
Mid-Coast,MidCoast Council,,None,,,,,,,,,,,,,
Port Stephens,Port Stephens Council,,None,,,,,,,,,,,,,
Newcastle,Newcastle City Council,Energy Audits and Ratings,Go Electric Action Plan,Current,"Residents can elect to participate in the Go Electric program. There is a separate plan for homeowners, renters and strata. 

By completing the Plan:
- homeowners can better understand the energy efficiency of their appliances;
- renters can better understand how to reduce energy bills and reduce emissions;
- strata managers can better understand how to work with Owners Corporation to increase electrification.",General,N/A,N/A,N/A,Unclear,Unclear,Residents,N/A,N/A,02 4974 2000,https://ncc.nsw.gov.au/living/environment/climate-action/empowering-newcastle#community-climate-action
Lake Macquarie,Lake Macquarie City Council,Energy Audits and Ratings,Residential efficiency scorecard,Historical,Council is offering a subsidised Residential Efficiency Scorecard assessment. A government-accredited Scorecard assessor provides an energy rating for the home and a plan for ways to make improvements.,Houses,Subsidy,"Subsidy for energy efficiency rating assessment.

Successful applicants will be eligible for a personalised Scorecard assessment for only $50 (assessments are normally valued at $500-$600 depending on the size of home).","The Terms and Conditions provide that:

- Entry is open to Lake Macquarie Residents that own a home within Lake Macquarie City. Entrants must be over 18 years of age. Lake Macquarie City Council employees and immediate families are eligible to enter.
- Successful applicants will be chosen at random via a lottery system",19 August 2024,26 August 2024,Lake Macquarie City Council,N/A,N/A,"council@lakemac.nsw.gov.au
(02) 4921 0333",https://www.lakemac.com.au/For-residents/Environment-and-sustainability/Sustainable-homes-business-and-transport/Sustainable-homes/Residential-efficiency-scorecard
Lake Macquarie,Lake Macquarie City Council,Energy Audits and Ratings,Home Energy Audit Toolkit,Current,Residents can borrow the Home Energy Audit Toolkit from the 'Library of things' to assess the energy efficiency of their home applicances.,Houses; apartments,N/A,N/A,N/A,Unclear,Unclear,Lake Macquarie City Council,N/A,N/A,"council@lakemac.nsw.gov.au
(02) 4921 0333",https://www.lakemac.com.au/For-residents/Environment-and-sustainability/Sustainable-homes-business-and-transport/Sustainable-homes/Electrify-your-home
Central Coast,Central Coast Council,,None,,,,,,,,,,,,,
Moree Plains,Moree Plains Shire Council,,None,,,,,,,,,,,,,
Narrabri,Narrabri Shire Council,,None,,,,,,,,,,,,,
Gunnedah,Gunnedah Shire Council,,None,,,,,,,,,,,,,
Liverpool Plains,Liverpool Plains Shire Council,,None,,,,,,,,,,,,,
Tamworth Regional,Tamworth Regional Council,,None,,,,,,,,,,,,,
Gwydir,Gwydir Shire Council,,None,,,,,,,,,,,,,
Inverell,Inverell Council,,None,,,,,,,,,,,,,
Uralla,Uralla Shire Council,,None,,,,,,,,,,,,,
Walcha,Walcha Council,,None,,,,,,,,,,,,,
Armidale Regional,Armidale Regional Council,,None,,,,,,,,,,,,,
Glen Innes Severn,Glen Innes Severn Council,,None,,,,,,,,,,,,,
Tenterfield,Tenterfield Shire Council,,None,,,,,,,,,,,,,
Kyogle,Kyogle Council,,None,,,,,,,,,,,,,
Richmond Valley,Richmond Valley Council,,None,,,,,,,,,,,,,
Lismore,Lismore City Council,Education and Awareness Programs,Partnership with Lismore Community Sustainability Forum,Current,"The Council partnered with the Lismore Community Sustainability Forum (LCSF), a group of volunteers dedicated to sustainable living, to design and deliver community education on energy efficiency in the home. Energy consultants audited household energy use and ran ‘kitchen table’ neighbourhood workshops to build social networks, share information and support participants to make changes.",General,N/A - education,N/A,N/A,Unclear,Unclear,Lismore City Council; Lismore Community Sustainability Forum,"A survey of the 50 plus participants before and after the project showed a marked improvement in knowledge.
“It was the little things I learnt that made the biggest difference to saving energy,” said one participant.",N/A,"council@lismore.nsw.gov.au 

(02) 6625 0500",https://www.lismore.nsw.gov.au/files/assets/public/v/1/2.-community/3.-environmental-strategies/documents/examples-factsheets-and-brochures/energy_efficiency_factsheet.pdf
Tweed,Tweed Shire Council,Education and Awareness Programs,Flick the Switch pop-up stall,Historical,The Council hosted a pop-up stall in one of the shopping centres in the LGA to help residents reduce energy usage to save money.,General,N/A - education,N/A,N/A,22 October 2024,23 October 2024,Tweed Shire Council,N/A,N/A,tsc@tweed.nsw.gov.au,https://www.tweed.nsw.gov.au/environment/climate-sustainability/climate-action/saving-energy
Clarence Valley,Clarence Valley Council,,None,,,,,,,,,,,,,
Coffs Harbour,Coffs Harbour City Council,,None,,,,,,,,,,,,,
Bellingen,Bellingen Shire Council,,None,,,,,,,,,,,,,
Nambucca Valley,Nambucca Valley Council,,None,,,,,,,,,,,,,
Kempsey,Kempsey Shire Council,Education and Awareness Programs,Webinar series,Historical,The Council partnered with an expert from Your Energy Friend to present a webinar series on sustainable energy use.,General,N/A - education,N/A,N/A,8 November 2023,8 November 2023,Kempsey Shire Council,N/A,N/A,ksc@kempsey.nsw.gov.au,https://www.kempsey.nsw.gov.au/Your-Council/Council-news-public-notices/Council-news-updates/20231124_Sustainability-webinar-2-summary
Port Macquarie-Hastings,Port Macquarie-Hastings Cou,,None,,,,,,,,,,,,,
Ballina ,Ballina Shire Council,,None,,,,,,,,,,,,,
Byron,Byron Shire Council,,None,,,,,,,,,,,,,
Shellharbour,Shellharbour City Council,Financial Incentives,Sustainability Rebates Program,Current,Shellharbour City Council's Sustainability Rebates Program assists homeowners and landlords to electrify their homes.,Houses,Rebate,"Rooftop solar: 10% up to $500

Heat pump water heater: 10% up to $500

Induction cooktop: 10% up to $250

Electric vehicle chargers: 10% up to $250

Home battery: 5% up to $500",Unclear,3 November 2023,Unclear,Shellharbour City Council,"In 2023/24, the Council's Small Environmental Projects Fund (SEPF) provided 60 rebates to eligible homeowners and landlords for the installation of sustainability products as part of the Sustainability Rebates Program.

",N/A,council@shellharbour.nsw.gov.au,"https://rebately.co/shellharbour/#:~:text=Shellharbour%20City%20Council's%20Sustainability%20Rebates,appliances%2C%20powered%20by%20solar%20energy.

https://www.shellharbour.nsw.gov.au/council/news-and-publications/media-releases/helping-households-switch-to-electric

https://www.shellharbour.nsw.gov.au/environment/small-environmental-projects-fund"
Wollongong,Wollongong Council,Education and Awareness Programs,Energy Efficiency Toolkit,Current,"Residents can borrow the Energy Efficiency Toolkit from the library to test the energy efficiency of homes applicances. 

The toolkit includes: 
- Energy saving thermometer
- Energy meter
- Water flow measuring cup
- Non-contact thermometer",Houses; apartments,N/A,N/A,N/A,Unclear,Unclear,Wollongong Council,N/A,N/A,(02) 4227 7414,https://www.wollongong.nsw.gov.au/library/borrow/energy-efficiency-toolkits
Kiama,Kiama Municipal Council,,None,,,,,,,,,,,,,
Hilltops,Hilltops Council,,None,,,,,,,,,,,,,
Upper Lachlan Shire,Upper Lachlan Shire Council,,None,,,,,,,,,,,,,
Wingecarribbee,Wingecarribbee Shire Council,Energy Audits and Ratings,Save Power Kit,Current,Residents can borrow the toolkit by contacting the council and arranging for collection from the civic centre.,General,N/A,Free,N/A,Unclear,Unclear,Wingecarribbee Shire Council,N/A,N/A,mail@wsc.nsw.gov.au,https://www.wsc.nsw.gov.au/environment/Sustainability/energy-in-your-home-or-business
Wingecarribbee,Wingecarribbee Shire Council,Education and Awareness Programs,Workshop,Historical,The Council partnered with an expert from Your Energy Friend to host a workshop on sustainable energy use.,General,N/A - education,N/A,N/A,19 August 2023,19 August 2023,Wingecarribbee Shire Council,N/A,N/A,mail@wsc.nsw.gov.au,https://www.wsc.nsw.gov.au/News/Community-Announcements-and-Statement/Conserve-energy-save-money
Shoalhaven,Shoalhaven City Council,Solar and Battery Systems,Sustainability and Climate Action Plan and Sustainable Energy Strategy - target of rooftop solar on 33% of all dwellings by 2025.,Current,Target of rooftop solar on 33% of all dwellings by 2025.,Houses,N/A - policy/target,N/A,N/A,Unclear,Unclear,Unclear,N/A,N/A,1300 293 111,"https://www.shoalhaven.nsw.gov.au/Council/What-guides-us/Plans-for-the-future/Environmental-sustainability#:~:text=Renewable%20energy%20targets&text=Source%20or%20generate%20electricity%20supply,of%20all%20dwellings%20by%202025."
Shoalhaven,Shoalhaven City Council,Energy Audits and Ratings,Energy and Water Saving Kits,Current,"Energy and Water Saving Kits available for hire from library for free.

Each kit contains:  
1- 0 Amp powermate to help measure power consumption and running costs
- non-contact thermometer to help assess surfaces and appliances
- water flow measuring cup to assess water usage
- guide to assist in calculating your energy and water use. ",General,N/A,Free,N/A,Unclear,Unclear,Shoalhaven City Council,N/A,N/A,1300 293 111,https://www.shoalhaven.nsw.gov.au/News-and-feedback/News-and-media/News/Energy-and-Water-Saving-Kits-are-now-available-to-hire
Goulburn Mulwaree,Goulburn Mulwaree Council,,None,,,,,,,,,,,,,
Yass Valley,Yass Valley Council,,None,,,,,,,,,,,,,
Queanbeyan-Palerang Regional,Queanbeyan-Palerang Regional Council,,None,,,,,,,,,,,,,
Eurobodalla,Eurobodalla Council,,None,,,,,,,,,,,,,
Bega Valley,Bega Valley Council,Energy Audits and Ratings,Save Power Kits,Current,Save Power Kits available for borrowing from library.,General,N/A,Free,N/A,Unclear,Unclear,Bega Valley Council,N/A,N/A,"council@begavalley.nsw.gov.au

02 6499 2222",https://begavalley.nsw.gov.au/council/save-power-kits-available-for-loan-from-bega-library
Snowy Monaro Regional,Snowy Monaro Regional Council,,None,,,,,,,,,,,,,
Oberon,Oberon Council,,None,,,,,,,,,,,,,
Lithgow City,Lithgow City Council,,None,,,,,,,,,,,,,
Bathurst Regional,Bathurst Regional Council,,None,,,,,,,,,,,,,
Mid-Western Regional,Mid-Western Regional Council,,None,,,,,,,,,,,,,
Warrumbungle,Warrumbungle Council,,None,,,,,,,,,,,,,
Blayney,Blayney Council,,None,,,,,,,,,,,,,
Orange,Orange City Council,Energy Audits and Ratings,Save Power Kits,Current,Save Power Kits available for borrowing from library.,General,N/A,Free,N/A,Unclear,Unclear,Orange City Council,N/A,N/A,1300 650 511.,https://www.orange.nsw.gov.au/news/save-power-kits-available-to-borrow-from-central-west-libraries/
Cowra,Cowra Council,,None,,,,,,,,,,,,,
Cabonne,Cabonne Council,,None,,,,,,,,,,,,,
Dubbo Regional,Dubbo Regional Council,,None,,,,,,,,,,,,,
Gilgandra,Gilgandra Shire Council,,None,,,,,,,,,,,,,
Coonamble,Coonamble Shire Council,,None,,,,,,,,,,,,,
Warren,Warren Shire Council,,None,,,,,,,,,,,,,
Narromine,Narromine Shire Council,,None,,,,,,,,,,,,,
